cfg_wr_period,cfg_wr_thresh,cfg_sma_period,cfg_mfi_filter,cfg_rsi_filter,cfg_vol_filter,cfg_dd_filter,cfg_streak_filter,cfg_exit_mode,cfg_max_hold,cfg_profit_target,label,is_n,is_avg,is_win,is_sharpe,is_pf,oos_n,oos_avg,oos_win,oos_sharpe,oos_pf,avg_hold,avg_peak,avg_dd,cfg_stop_loss,cfg_trail_atr,cfg_hold_days,cfg_breadth_mode
30,-30,20,accumulating,,not_dry,deep,,bbw_contract,30.0,,"WR(30,-30) | MFI:accumulating | VOL:not_dry | DD:deep | bbw_contract | TR2.0ATR",21,4.2537,76.2,2.78,5.32,14,2.0905,85.7,4.01,5.58,7.9,5.34,-1.9,,2.0,,
30,-40,20,not_weak,,,deep,,bbw_pt,30.0,3.0,"WR(30,-40) | MFI:not_weak | DD:deep | bbw_pt | PT3%",24,2.7671,83.3,3.08,4.18,17,3.3214,94.1,4.01,6.74,7.2,3.93,-2.65,,,,
30,-40,20,accumulating,,not_dry,deep,,bbw_contract,30.0,,"WR(30,-40) | MFI:accumulating | VOL:not_dry | DD:deep | bbw_contract | TR2.0ATR",21,4.2537,76.2,2.78,5.32,14,2.0905,85.7,4.01,5.58,7.9,5.34,-1.9,,2.0,,
30,-30,20,accumulating,,,,,bbw_pt,30.0,3.0,"WR(30,-30) | MFI:accumulating | bbw_pt | PT3%",46,0.8932,73.9,0.87,1.64,31,2.4235,83.9,4.0,6.9,8.9,2.67,-2.79,,,,
30,-30,20,not_weak,,not_dry,moderate,,bbw_pt,30.0,3.0,"WR(30,-30) | MFI:not_weak | VOL:not_dry | DD:moderate | bbw_pt | PT3%",45,1.9584,84.4,1.78,2.57,30,2.6446,86.7,3.99,5.98,8.9,3.39,-2.92,,,,
30,-40,20,accumulating,,,moderate,,bbw_contract,30.0,,"WR(30,-40) | MFI:accumulating | DD:moderate | bbw_contract",31,2.1996,77.4,1.35,2.47,21,3.6287,85.7,3.95,9.97,11.8,4.81,-3.11,,,,
30,-40,20,accumulating,,not_dry,moderate,,bbw_contract,30.0,,"WR(30,-40) | MFI:accumulating | VOL:not_dry | DD:moderate | bbw_contract",31,2.1996,77.4,1.35,2.47,21,3.6287,85.7,3.95,9.97,11.8,4.81,-3.11,,,,
30,-40,20,not_weak,,not_dry,moderate,,bbw_pt,30.0,3.0,"WR(30,-40) | MFI:not_weak | VOL:not_dry | DD:moderate | bbw_pt | PT3%",45,2.0406,84.4,1.85,2.63,30,2.5891,86.7,3.94,5.87,8.6,3.4,-2.81,,,,
30,-30,20,not_weak,,not_dry,moderate,,bbw_pt,30.0,5.0,"WR(30,-30) | MFI:not_weak | VOL:not_dry | DD:moderate | bbw_pt | PT5%",41,1.9822,82.9,2.03,2.69,28,3.0479,85.7,3.93,6.35,10.4,3.75,-2.93,,,,
30,-30,20,not_weak,,not_dry,deep,,bbw_pt,30.0,3.0,"WR(30,-30) | MFI:not_weak | VOL:not_dry | DD:deep | bbw_pt | PT3%",24,2.7331,83.3,3.06,4.14,17,3.0333,94.1,3.93,6.24,7.3,3.79,-2.67,,,,
30,-30,20,not_weak,,,moderate,any,bbw_pt,30.0,3.0,"WR(30,-30) | MFI:not_weak | DD:moderate | STR:any | bbw_pt | PT3%",31,2.8514,90.3,3.19,4.48,21,2.4145,85.7,3.9,4.97,8.8,3.57,-2.4,,,,
30,-40,20,not_weak,,not_dry,moderate,,bbw_pt,30.0,5.0,"WR(30,-40) | MFI:not_weak | VOL:not_dry | DD:moderate | bbw_pt | PT5%",40,2.0404,82.5,2.04,2.69,28,2.9313,85.7,3.9,6.15,10.3,3.75,-2.93,,,,
30,-40,20,not_weak,,not_dry,moderate,any,bbw_pt,30.0,5.0,"WR(30,-40) | MFI:not_weak | VOL:not_dry | DD:moderate | STR:any | bbw_pt | PT5%",27,3.0561,88.9,3.07,4.2,19,2.5628,84.2,3.87,5.66,10.2,3.95,-2.6,,,,
30,-30,20,not_weak,,,deep,,bbw_pt,30.0,5.0,"WR(30,-30) | MFI:not_weak | DD:deep | bbw_pt | PT5%",21,3.113,81.0,3.12,4.13,15,3.4391,93.3,3.86,6.24,9.2,4.33,-3.08,,,,
30,-40,20,not_weak,,,deep,,bbw_pt,30.0,5.0,"WR(30,-40) | MFI:not_weak | DD:deep | bbw_pt | PT5%",21,3.2281,81.0,3.16,4.24,15,3.4391,93.3,3.86,6.24,9.1,4.4,-3.02,,,,
