wr_period,wr_thresh,bb_period,bb_std,entry_mode,adx_filter,in_sample_n,in_sample_3d_avg,in_sample_3d_win,in_sample_3d_sharpe,in_sample_3d_pf,in_sample_5d_avg,in_sample_5d_win,in_sample_5d_sharpe,in_sample_5d_pf,in_sample_10d_avg,in_sample_10d_win,in_sample_10d_sharpe,in_sample_10d_pf,in_sample_20d_avg,in_sample_20d_win,in_sample_20d_sharpe,in_sample_20d_pf,out_of_sample_n,out_of_sample_3d_avg,out_of_sample_3d_win,out_of_sample_3d_sharpe,out_of_sample_3d_pf,out_of_sample_5d_avg,out_of_sample_5d_win,out_of_sample_5d_sharpe,out_of_sample_5d_pf,out_of_sample_10d_avg,out_of_sample_10d_win,out_of_sample_10d_sharpe,out_of_sample_10d_pf,out_of_sample_20d_avg,out_of_sample_20d_win,out_of_sample_20d_sharpe,out_of_sample_20d_pf
30,-50,20,1.0,mean_revert,False,77.6,0.28222,52.02,0.724,1.34,0.37700000000000006,51.18,0.68,1.4,0.72346,50.519999999999996,0.898,1.608,1.92644,58.720000000000006,2.412,5.786,49.2,0.8466400000000001,57.2,1.44,3.376,1.45602,66.5,2.612,1.1019999999999999,1.9685200000000003,66.17999999999999,2.592,14.363999999999999,2.60318,64.7,2.832,9.610000000000001
30,-50,20,2.0,mean_revert,False,77.6,0.28222,52.02,0.724,1.34,0.37700000000000006,51.18,0.68,1.4,0.72346,50.519999999999996,0.898,1.608,1.92644,58.720000000000006,2.412,5.786,49.2,0.8466400000000001,57.2,1.44,3.376,1.45602,66.5,2.612,1.1019999999999999,1.9685200000000003,66.17999999999999,2.592,14.363999999999999,2.60318,64.7,2.832,9.610000000000001
30,-50,25,2.0,mean_revert,False,77.6,0.28222,52.02,0.724,1.34,0.37700000000000006,51.18,0.68,1.4,0.72346,50.519999999999996,0.898,1.608,1.92644,58.720000000000006,2.412,5.786,49.4,0.8523200000000001,57.32000000000001,1.4600000000000002,3.3880000000000003,1.458,66.6,2.62,1.108,1.9678799999999999,66.3,2.592,14.363999999999999,2.58958,64.52000000000001,2.818,9.598
30,-50,25,1.5,mean_revert,False,77.6,0.28222,52.02,0.724,1.34,0.37700000000000006,51.18,0.68,1.4,0.72346,50.519999999999996,0.898,1.608,1.92644,58.720000000000006,2.412,5.786,49.4,0.8523200000000001,57.32000000000001,1.4600000000000002,3.3880000000000003,1.458,66.6,2.62,1.108,1.9678799999999999,66.3,2.592,14.363999999999999,2.58958,64.52000000000001,2.818,9.598
14,-50,25,2.0,mean_revert,False,85.8,0.46704,54.720000000000006,1.09,1.526,0.73826,55.739999999999995,1.286,1.64,0.8713799999999999,51.48,1.1460000000000001,1.53,1.62026,57.96,1.584,2.142,52.6,0.6827,53.839999999999996,0.9480000000000001,2.74,1.2490999999999999,60.5,1.734,4.843999999999999,2.27514,64.1,2.59,8.338,2.97898,65.14,2.67,13.341999999999999
14,-50,25,1.0,mean_revert,False,85.8,0.46704,54.720000000000006,1.09,1.526,0.73826,55.739999999999995,1.286,1.64,0.8713799999999999,51.48,1.1460000000000001,1.53,1.62026,57.96,1.584,2.142,52.6,0.6827,53.839999999999996,0.9480000000000001,2.74,1.2490999999999999,60.5,1.734,4.843999999999999,2.27514,64.1,2.59,8.338,2.97898,65.14,2.67,13.341999999999999
14,-50,25,1.5,mean_revert,False,85.8,0.46704,54.720000000000006,1.09,1.526,0.73826,55.739999999999995,1.286,1.64,0.8713799999999999,51.48,1.1460000000000001,1.53,1.62026,57.96,1.584,2.142,52.6,0.6827,53.839999999999996,0.9480000000000001,2.74,1.2490999999999999,60.5,1.734,4.843999999999999,2.27514,64.1,2.59,8.338,2.97898,65.14,2.67,13.341999999999999
20,-40,15,1.0,mean_revert,True,83.0,0.21553999999999998,48.62,0.53,1.248,0.35819999999999996,51.760000000000005,0.712,1.3419999999999999,0.7053200000000001,51.96,1.124,1.682,1.9704000000000002,61.220000000000006,2.406,4.458,37.6,0.536975,60.075,1.8599999999999999,2.0,0.8281499999999999,62.75,2.4275,2.845,1.02335,60.5,2.5775,4.2924999999999995,2.1714249999999997,65.125,3.795,9.535
20,-40,15,1.5,mean_revert,True,83.0,0.21553999999999998,48.62,0.53,1.248,0.35819999999999996,51.760000000000005,0.712,1.3419999999999999,0.7053200000000001,51.96,1.124,1.682,1.9704000000000002,61.220000000000006,2.406,4.458,37.6,0.536975,60.075,1.8599999999999999,2.0,0.8281499999999999,62.75,2.4275,2.845,1.02335,60.5,2.5775,4.2924999999999995,2.1714249999999997,65.125,3.795,9.535
20,-40,15,2.0,mean_revert,True,83.0,0.21553999999999998,48.62,0.53,1.248,0.35819999999999996,51.760000000000005,0.712,1.3419999999999999,0.7053200000000001,51.96,1.124,1.682,1.9704000000000002,61.220000000000006,2.406,4.458,37.6,0.536975,60.075,1.8599999999999999,2.0,0.8281499999999999,62.75,2.4275,2.845,1.02335,60.5,2.5775,4.2924999999999995,2.1714249999999997,65.125,3.795,9.535
20,-40,20,1.5,mean_revert,True,84.0,0.22496,49.2,0.562,1.262,0.34340000000000004,51.86,0.686,1.334,0.70566,52.08,1.134,1.6920000000000002,1.9472200000000002,61.160000000000004,2.38,4.496,39.6,0.5231,60.075,1.8199999999999998,1.975,0.8187,63.55,2.4075,2.8125,1.01895,60.625,2.5725000000000002,4.2475,2.004625,63.325,3.6425,9.280000000000001
20,-40,20,1.0,mean_revert,True,84.0,0.22496,49.2,0.562,1.262,0.34340000000000004,51.86,0.686,1.334,0.70566,52.08,1.134,1.6920000000000002,1.9472200000000002,61.160000000000004,2.38,4.496,39.6,0.5231,60.075,1.8199999999999998,1.975,0.8187,63.55,2.4075,2.8125,1.01895,60.625,2.5725000000000002,4.2475,2.004625,63.325,3.6425,9.280000000000001
