cfg_wr_period,cfg_wr_thresh,cfg_sma_period,cfg_mfi_filter,cfg_bbw_filter,cfg_adx_filter,cfg_adx_mode,cfg_exit_mode,cfg_max_hold,label,is_n,is_avg,is_win,is_sharpe,is_pf,oos_n,oos_avg,oos_win,oos_sharpe,oos_pf,avg_hold,avg_peak,avg_dd,cfg_hold_days
30,-50,20,,not_expanded,20.0,above,bbw_contract,30.0,"WR(30,-50) SMA20 BBW:not_expanded ADXa20 bbw_contract",24,1.2547,70.8,1.09,2.02,17,3.0614,88.2,4.83,14.61,13.0,3.89,-2.76,
30,-50,20,not_weak,not_expanded,20.0,above,bbw_contract,30.0,"WR(30,-50) SMA20 MFI:not_weak BBW:not_expanded ADXa20 bbw_contract",24,1.2506,70.8,1.09,2.02,17,3.0614,88.2,4.83,14.61,13.0,3.88,-2.76,
30,-50,10,accumulating,not_expanded,20.0,above,fixed,,"WR(30,-50) SMA10 MFI:accumulating BBW:not_expanded ADXa20 fixed15",15,0.4499,60.0,0.36,1.2,10,2.1908,90.0,4.78,11.31,15.0,4.79,-2.96,15.0
20,-50,20,,not_expanded,20.0,above,fixed,,"WR(20,-50) SMA20 BBW:not_expanded ADXa20 fixed20",25,1.3352,60.0,1.01,1.73,18,4.941,88.9,4.77,13.01,20.0,5.99,-2.99,20.0
30,-50,10,,not_expanded,20.0,above,fixed,,"WR(30,-50) SMA10 BBW:not_expanded ADXa20 fixed20",21,2.2256,61.9,1.46,2.2,14,4.9194,78.6,4.73,14.57,20.0,6.37,-2.78,20.0
30,-50,10,not_weak,not_expanded,20.0,above,fixed,,"WR(30,-50) SMA10 MFI:not_weak BBW:not_expanded ADXa20 fixed20",20,2.417,65.0,1.59,2.33,14,4.9194,78.6,4.73,14.57,20.0,6.27,-2.83,20.0
30,-50,20,,not_expanded,20.0,above,fixed,,"WR(30,-50) SMA20 BBW:not_expanded ADXa20 fixed20",21,2.1023,61.9,1.42,2.14,14,4.9194,78.6,4.73,14.57,20.0,6.2,-2.83,20.0
30,-50,20,not_weak,not_expanded,20.0,above,fixed,,"WR(30,-50) SMA20 MFI:not_weak BBW:not_expanded ADXa20 fixed20",21,2.1802,61.9,1.47,2.18,14,4.9194,78.6,4.73,14.57,20.0,6.19,-2.83,20.0
30,-30,20,,not_expanded,20.0,above,fixed,,"WR(30,-30) SMA20 BBW:not_expanded ADXa20 fixed20",25,1.6089,60.0,1.24,2.01,18,4.8898,88.9,4.72,12.89,20.0,5.91,-3.02,20.0
20,-50,10,,not_expanded,20.0,above,fixed,,"WR(20,-50) SMA10 BBW:not_expanded ADXa20 fixed20",24,0.9631,54.2,0.72,1.48,17,4.9361,88.2,4.64,12.33,20.0,5.93,-3.02,20.0
30,-50,20,accumulating,not_expanded,20.0,above,sma_break,25.0,"WR(30,-50) SMA20 MFI:accumulating BBW:not_expanded ADXa20 sma_break",18,0.7104,77.8,0.65,1.51,12,2.8899,91.7,4.64,27.44,8.8,2.87,-2.77,
14,-30,20,accumulating,not_expanded,20.0,above,sma_break,25.0,"WR(14,-30) SMA20 MFI:accumulating BBW:not_expanded ADXa20 sma_break",22,-0.0209,72.7,-0.02,0.99,15,2.6606,93.3,4.63,31.43,8.8,2.31,-2.95,
14,-40,20,accumulating,not_expanded,20.0,above,sma_break,25.0,"WR(14,-40) SMA20 MFI:accumulating BBW:not_expanded ADXa20 sma_break",21,-0.0822,71.4,-0.09,0.94,15,2.6606,93.3,4.63,31.43,9.0,2.3,-3.04,
20,-30,20,accumulating,not_expanded,20.0,above,sma_break,25.0,"WR(20,-30) SMA20 MFI:accumulating BBW:not_expanded ADXa20 sma_break",22,-0.0209,72.7,-0.02,0.99,15,2.6606,93.3,4.63,31.43,8.8,2.31,-2.95,
30,-30,20,accumulating,not_expanded,20.0,above,sma_break,25.0,"WR(30,-30) SMA20 MFI:accumulating BBW:not_expanded ADXa20 sma_break",21,0.0336,71.4,0.04,1.02,15,2.6606,93.3,4.63,31.43,8.9,2.4,-2.97,
20,-30,20,,not_expanded,20.0,above,fixed,,"WR(20,-30) SMA20 BBW:not_expanded ADXa20 fixed20",26,1.4054,61.5,1.08,1.82,18,4.6855,88.9,4.6,12.39,20.0,5.74,-3.1,20.0
20,-40,20,,not_expanded,20.0,above,fixed,,"WR(20,-40) SMA20 BBW:not_expanded ADXa20 fixed20",25,1.2606,60.0,0.96,1.7,18,4.8165,88.9,4.6,12.71,20.0,5.83,-3.12,20.0
20,-50,20,accumulating,not_expanded,20.0,above,sma_break,25.0,"WR(20,-50) SMA20 MFI:accumulating BBW:not_expanded ADXa20 sma_break",21,0.5336,81.0,0.59,1.45,14,2.7231,92.9,4.59,30.07,8.7,2.52,-2.83,
30,-40,20,,not_expanded,20.0,above,bbw_contract,30.0,"WR(30,-40) SMA20 BBW:not_expanded ADXa20 bbw_contract",27,1.3298,74.1,1.25,2.2,18,2.7822,88.9,4.59,14.1,12.4,3.68,-2.81,
30,-40,20,not_weak,not_expanded,20.0,above,bbw_contract,30.0,"WR(30,-40) SMA20 MFI:not_weak BBW:not_expanded ADXa20 bbw_contract",26,1.2647,73.1,1.16,2.1,18,2.7822,88.9,4.59,14.1,12.5,3.63,-2.86,
20,-30,20,not_weak,squeeze,20.0,above,sma_break,25.0,"WR(20,-30) SMA20 MFI:not_weak BBW:squeeze ADXa20 sma_break",14,1.1553,92.9,4.91,15.8,10,1.1075,70.0,4.57,17.99,8.0,1.73,-1.97,
20,-40,20,accumulating,not_expanded,20.0,above,sma_break,25.0,"WR(20,-40) SMA20 MFI:accumulating BBW:not_expanded ADXa20 sma_break",21,-0.0656,71.4,-0.07,0.96,15,2.6028,93.3,4.49,30.77,9.0,2.33,-3.04,
30,-40,10,accumulating,not_expanded,20.0,above,bbw_contract,30.0,"WR(30,-40) SMA10 MFI:accumulating BBW:not_expanded ADXa20 bbw_contract",20,1.6356,65.0,1.03,2.12,14,2.1057,78.6,4.49,11.23,12.1,4.19,-2.91,
30,-50,10,accumulating,not_expanded,25.0,below,adaptive,30.0,"WR(30,-50) SMA10 MFI:accumulating BBW:not_expanded ADXb25 adaptive",29,1.0351,62.1,1.29,2.06,20,2.4506,80.0,4.46,10.21,7.3,3.52,-1.67,
20,-40,20,not_weak,squeeze,20.0,above,bbw_contract,30.0,"WR(20,-40) SMA20 MFI:not_weak BBW:squeeze ADXa20 bbw_contract",14,1.0312,85.7,3.67,5.77,10,1.4953,90.0,4.45,106.9,10.4,2.07,-2.23,
20,-50,20,not_weak,squeeze,20.0,above,bbw_contract,30.0,"WR(20,-50) SMA20 MFI:not_weak BBW:squeeze ADXa20 bbw_contract",14,1.2545,92.9,4.84,10.09,10,1.4953,90.0,4.45,106.9,10.3,2.16,-2.1,
30,-30,20,not_weak,squeeze,20.0,above,bbw_contract,30.0,"WR(30,-30) SMA20 MFI:not_weak BBW:squeeze ADXa20 bbw_contract",13,1.211,84.6,3.89,6.21,10,1.4953,90.0,4.45,106.9,10.3,2.1,-2.23,
30,-50,20,accumulating,,25.0,below,adaptive,30.0,"WR(30,-50) SMA20 MFI:accumulating ADXb25 adaptive",34,1.057,55.9,1.35,2.07,23,2.4146,82.6,4.45,7.75,7.2,3.28,-1.64,
14,-50,20,,not_expanded,20.0,above,bbw_contract,30.0,"WR(14,-50) SMA20 BBW:not_expanded ADXa20 bbw_contract",30,0.968,70.0,0.97,1.89,20,2.7242,95.0,4.44,19.0,12.5,3.57,-2.81,
